Recency,Frequency,Monetary,Model K = 2,Model K = 3,Model K = 4,Model K = 5
791,1,220000,0,0,0,0
651,1,112147,1,1,1,1
664,1,112147,1,1,1,1
688,1,112147,1,1,3,3
771,1,113544,0,2,2,2
674,2,224294,1,1,3,3
724,1,114696,1,2,2,4
694,1,219197,1,1,3,3
667,1,112147,1,1,1,1
758,1,112995,0,2,2,2
783,1,115835,0,0,0,0
792,1,115880,0,0,0,0
786,1,228949,0,0,0,0
780,1,144202,0,0,0,0
657,1,112147,1,1,1,1
665,1,112147,1,1,1,1
764,1,127167,0,2,2,2
688,1,112147,1,1,3,3
660,1,112147,1,1,1,1
659,1,112147,1,1,1,1
686,1,112147,1,1,3,3
726,1,109598,1,2,2,4
663,1,112147,1,1,1,1
675,1,112147,1,1,1,1
759,1,112995,0,2,2,2
791,1,116800,0,0,0,0
765,1,113857,0,2,2,2
667,1,112147,1,1,1,1
665,1,112147,1,1,1,1
733,1,109598,0,2,2,4
665,1,123192,1,1,1,1
689,1,33134,1,1,3,3
760,1,41850,0,2,2,2
661,1,112147,1,1,1,1
772,1,111744,0,0,0,0
761,1,225990,0,2,2,2
761,1,112995,0,2,2,2
687,1,112147,1,1,3,3
757,1,20646,0,2,2,2
665,1,112147,1,1,1,1
649,1,127440,1,1,1,1
649,1,127440,1,1,1,1
686,1,112147,1,1,3,3
760,1,112995,0,2,2,2
761,1,112995,0,2,2,2
799,1,0,0,0,0,0
759,1,187860,0,2,2,2
781,1,134293,0,0,0,0
688,1,112147,1,1,3,3
695,1,219197,1,1,3,3
666,1,112147,1,1,1,1
791,1,127080,0,0,0,0
679,1,224294,1,1,3,3
736,1,59241,0,2,2,2
768,1,225234,0,2,2,2
663,1,22090,1,1,1,1
648,1,110873,1,1,1,1
698,1,119935,1,1,3,4
800,1,120000,0,0,0,0
774,1,111744,0,0,0,0
717,1,109598,1,2,2,4
708,1,109598,1,2,3,4
681,1,112147,1,1,3,3
688,1,112147,1,1,3,3
694,1,109598,1,1,3,3
697,1,109598,1,1,3,4
770,1,113104,0,2,2,2
760,1,112995,0,2,2,2
720,1,112147,1,2,2,4
679,1,112147,1,1,3,3
735,1,107973,0,2,2,2
748,1,32643,0,2,2,2
761,1,50917,0,2,2,2
775,1,114297,0,0,0,0
758,1,123736,0,2,2,2
777,1,113977,0,0,0,0
663,1,112147,1,1,1,1
760,1,112995,0,2,2,2
680,1,257429,1,1,3,3
